category,supplier_sku,description,size,colour,length_mm,tier2_price_ex_gst,rrp,carton_qty
Gate Style,1820OriginalGateStyleStripPreGalSetSURFMIST,1820x50 Original Gate Style With Strip Pre-Gal Each Set SURFMIST,1820,SURFMIST,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetWilderness,1220x50 Original Gate Style With Strip Pre-Gal Each Set WILDERNESS,1220,WILDERNESS,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetWILDERNESS,1820x50 Original Gate Style With Strip Pre-Gal Each Set WILDERNESS,1820,WILDERNESS,1820,42.0,,
Gate Style,820OriginalGateStyleStripPreGalSetWindspray,1820x50 Original Gate Style With Strip Pre-Gal Each Set WINDSPRAY,1820,WINDSPRAY,1820,42.0,,
Gate Style,1220OriginalGateStyleStripPreGalSetWoodlandGrey,1220x50 Original Gate Style With Strip Pre-Gal Each Set WOODLAND,1220,WOODLAND GREY,1220,42.0,,
Gate Style,1820OriginalGateStyleStripPreGalSetWOODLANDGREY,1820x50 Original Gate Style With Strip Pre-Gal Each Set WOODLAND GREY,1820,WOODLAND GREY,1820,42.0,,
Infill Sheet,FMSBA12,Metline Colorbond® Infill Sheet 1190 BASALT,1190,BASALT,1190,12.01,,
Infill Sheet,FNSBA12,Trimclad Colorbond® Infill Sheet 1190 BASALT,1190,BASALT,1190,12.01,,
Infill Sheet,FZSBA12,Metzag Colorbond® Infill Sheet 1190 BASALT,1190,BASALT,1190,12.01,,
Infill Sheet,FZSBA15,Metzag Colorbond® Infill Sheet 1490 BASALT,1490,BASALT,1490,15.09,,
Infill Sheet,FMSBA15,Metline Colorbond® Infill Sheet 1490 BASALT,1490,BASALT,1490,15.03,,
Infill Sheet,FNSBA15,Trimclad Colorbond® Infill Sheet 1490 BASALT,1490,BASALT,1490,15.03,,
Infill Sheet,FZSBA17,Metzag Colorbond® Infill Sheet 1790 BASALT,1790,BASALT,1790,16.3,,100
Infill Sheet,FMSBA18,Metline Colorbond® Infill Sheet 1790 BASALT,1790,BASALT,1790,16.3,,100
Infill Sheet,FNSBA18,Trimclad Colorbond® Infill Sheet 1790 BASALT,1790,BASALT,1790,16.3,,100
Infill Sheet,FZSBA21,Metzag Colorbond® Infill Sheet 2090 BASALT,2090,BASALT,2090,19.4,,100
Infill Sheet,FMSBA21,Metline Colorbond® Infill Sheet 2090 BASALT,2090,BASALT,2090,19.4,,100
Infill Sheet,FNSBA21,Trimclad Colorbond® Infill Sheet 2090 BASALT,2090,BASALT,2090,19.4,,100
Infill Sheet,FNSBA24,Trimclad Colorbond® Infill Sheet 2390 BASALT,2390,BASALT,2390,24.0,,
Infill Sheet,SKU-040925020348,Metzag Colorbond® Infill Sheet 2390 BASALT,2390,BASALT,2390,24.0,,
Infill Sheet,FMSCG12,Metline Colorbond® Infill Sheet 1190 COTTAGE GREEN,1190,COTTAGE GREEN,1190,12.01,,
Infill Sheet,FNSCG12,Trimclad Colorbond® Infill Sheet 1190 COTTAGE GREEN,1190,COTTAGE GREEN,1190,12.01,,
Infill Sheet,FZSCG12,Metzag Colorbond® Infill Sheet 1190 COTTAGE GREEN,1190,COTTAGE GREEN,1190,12.01,,
Infill Sheet,FZSCG15,Metzag Colorbond® Infill Sheet 1490 COTTAGE GREEN,1490,COTTAGE GREEN,1490,15.03,,
Infill Sheet,FMSCG15,Metline Colorbond® Infill Sheet 1490 COTTAGE GREEN,1490,COTTAGE GREEN,1490,15.03,,
Infill Sheet,FNSCG15,Trimclad Colorbond® Infill Sheet 1490 COTTAGE GREEN,1490,COTTAGE GREEN,1490,15.03,,
Infill Sheet,FZSCG17,Metzag Colorbond® Infill Sheet 1790 COTTAGE GREEN,1790,COTTAGE GREEN,1790,16.3,,
Infill Sheet,FMSCG18,Metline Colorbond® Infill Sheet 1790 COTTAGE GREEN,1790,COTTAGE GREEN,1790,18.02,,100
Infill Sheet,FNSCG18,Trimclad Colorbond® Infill Sheet 1790 COTTAGE GREEN,1790,COTTAGE GREEN,1790,16.3,,
Infill Sheet,FZSCG21,Metzag Colorbond® Infill Sheet 2090 COTTAGE GREEN,2090,COTTAGE GREEN,2090,19.4,,
Infill Sheet,FMSCG21,Metline Colorbond® Infill Sheet 2090 COTTAGE GREEN,2090,COTTAGE GREEN,2090,19.4,,
Infill Sheet,FNSCG21,Trimclad Colorbond® Infill Sheet 2090 COTTAGE GREEN,2090,COTTAGE GREEN,2090,19.4,,
Infill Sheet,FMSDO12,Metline Colorbond® Infill Sheet 1190 DEEP OCEAN,1190,DEEP OCEAN,1190,12.01,,
Infill Sheet,FNSDO12,Trimclad Colorbond® Infill Sheet 1190 DEEP OCEAN,1190,DEEP OCEAN,1190,12.01,,
Infill Sheet,FZSDO12,Metzag Colorbond® Infill Sheet 1190 DEEP OCEAN,1190,DEEP OCEAN,1190,12.01,,
Infill Sheet,FMSDO15,Metline Colorbond® Infill Sheet 1490 DEEP OCEAN,1490,DEEP OCEAN,1490,15.03,,
Infill Sheet,FNSDO15,Trimclad Colorbond® Infill Sheet 1490 DEEP OCEAN,1490,DEEP OCEAN,1490,15.03,,
Infill Sheet,FZSDO15,Metzag Colorbond® Infill Sheet 1490 DEEP OCEAN,1490,DEEP OCEAN,1490,15.03,,
Infill Sheet,FMSDO18,Metline Colorbond® Infill Sheet 1790 DEEP OCEAN,1790,DEEP OCEAN,1790,16.3,,100
